Unnamed: 0.1,Hsc 20,Hsc 20.1,Height_column1,Height_column2,Index_column3,Index_column4
GUI_12_34_Hos,212.0,226.0,5834.0,2409.0,3001.0,3144.0
GUI_12_35_Hos,214.0,214.0,9563.0,9563.0,3026.0,3026.0
GUI_12_36_Hos,200.0,200.0,7584.0,7584.0,2873.0,2873.0
GUI_12_37_Hos,224.0,200.0,4061.0,10354.0,3158.0,2883.0
GUI_12_38_Hos,202.0,236.0,8369.0,3830.0,2925.0,3308.0
GUI_12_39_Hos,212.0,200.0,7002.0,9283.0,3032.0,2884.0
GUI_12_40_Hos,206.0,228.0,7652.0,1974.0,2941.0,3175.0
GUI_12_41_Hos,218.0,198.0,5714.0,7551.0,3072.0,2839.0
GUI_12_42_Hos,212.0,214.0,9236.0,9236.0,2990.0,2990.0
GUI_12_43_Hos,202.0,226.0,8043.0,2678.0,2859.0,3131.0
GUI_12_44_Hos,202.0,216.0,5472.0,3726.0,2900.0,3046.0
GUI_12_45_Hos,214.0,216.0,6718.0,6718.0,3043.0,3043.0
GUI_12_46_Hos,200.0,214.0,6976.0,6006.0,2916.0,3065.0
GUI_12_47_Hos,200.0,212.0,9981.0,5640.0,2904.0,3030.0
GUI_12_48_Hos,212.0,214.0,8357.0,8357.0,3024.0,3024.0
GUI_12_49_Hos,200.0,212.0,8952.0,7994.0,2886.0,3013.0
GUI_12_50_Hos,200.0,212.0,7707.0,6049.0,2865.0,2991.0
GUI_12_51_Hos,214.0,220.0,10399.0,6861.0,3030.0,3091.0
GUI_12_52_Hos,194.0,200.0,13135.0,8532.0,2797.0,2880.0
GUI_12_53_Hos,210.0,216.0,9900.0,7803.0,3005.0,3069.0
POP,,,,,,
STA_12_1,200.0,222.0,15695.0,6900.0,3019.0,3283.0
STA_12_2,200.0,214.0,23535.0,15585.0,3041.0,3195.0
STA_12_3,200.0,214.0,18023.0,12172.0,3014.0,3189.0
STA_12_4,200.0,216.0,25539.0,15915.0,3052.0,3251.0
STA_12_5,200.0,200.0,25282.0,25282.0,3054.0,3054.0
STA_12_6,200.0,222.0,29830.0,19321.0,3074.0,3342.0
STA_12_7,214.0,216.0,7130.0,7130.0,3290.0,3290.0
STA_12_8,202.0,220.0,7749.0,5085.0,3199.0,3427.0
STA_12_10,200.0,214.0,17145.0,11812.0,3001.0,3176.0
STA_12_11,214.0,200.0,2309.0,9365.0,3178.0,3026.0
STA_12_12,200.0,220.0,11216.0,5122.0,3012.0,3251.0
STA_12_13,200.0,200.0,15630.0,15630.0,3038.0,3038.0
STA_12_14,200.0,212.0,20143.0,9197.0,3028.0,3181.0
STA_12_15,202.0,210.0,9162.0,4533.0,3117.0,3207.0
STA_12_17,200.0,214.0,11227.0,6410.0,2971.0,3144.0
STA_12_18,214.0,214.0,13834.0,13834.0,3144.0,3144.0
STA_12_19,220.0,202.0,2067.0,3824.0,3224.0,3007.0
STA_12_20,200.0,200.0,707.0,707.0,2970.0,2970.0
STA_12_21,208.0,220.0,6833.0,3628.0,3088.0,3218.0
STA_12_22,214.0,214.0,9795.0,9795.0,3159.0,3159.0
STA_12_23,212.0,216.0,4441.0,6494.0,3172.0,3217.0
STA_12_24,200.0,212.0,6899.0,8349.0,3057.0,3214.0
STA_12_25,214.0,202.0,2909.0,4966.0,3146.0,2995.0
STA_12_26,206.0,210.0,11736.0,5276.0,3030.0,3071.0
STA_12_27,214.0,214.0,8807.0,8807.0,3098.0,3098.0
STA_12_28,212.0,226.0,8710.0,2511.0,3102.0,3255.0
STA_12_29,200.0,212.0,1300.0,5695.0,2955.0,3106.0
STA_12_30,214.0,244.0,6262.0,1449.0,3154.0,3478.0
STA_12_31,202.0,202.0,12251.0,12251.0,3006.0,3006.0
STA_12_32,210.0,220.0,9565.0,9645.0,3144.0,3251.0
STA_12_33,214.0,202.0,3855.0,6850.0,3129.0,2977.0
STA_12_34,200.0,200.0,15117.0,15117.0,2960.0,2960.0
STA_12_35,200.0,218.0,6154.0,2367.0,2932.0,3149.0
STA_12_36,220.0,230.0,4673.0,1972.0,3182.0,3291.0
STA_12_37,200.0,202.0,8644.0,7009.0,2945.0,2967.0
STA_12_38,214.0,214.0,3625.0,3625.0,3162.0,3162.0
STA_12_39,200.0,210.0,9510.0,9164.0,2996.0,3128.0
STA_12_40,212.0,214.0,8132.0,8132.0,3168.0,3168.0
STA_12_41,210.0,214.0,4602.0,3151.0,3074.0,3116.0
STA_12_42,214.0,214.0,15183.0,15183.0,3121.0,3121.0
STA_12_44,212.0,200.0,3419.0,4335.0,3068.0,2940.0
STA_12_45,214.0,232.0,5104.0,2010.0,3094.0,3288.0
STA_12_46,224.0,202.0,3264.0,7709.0,3247.0,2986.0
STA_12_47,218.0,218.0,2663.0,2663.0,3184.0,3184.0
STA_12_49,200.0,212.0,10346.0,9747.0,2957.0,3111.0
STA_12_50,218.0,220.0,3205.0,3205.0,3144.0,3144.0
STA_12_51,214.0,240.0,3806.0,7.0,3102.0,3374.0
STA_12_52,198.0,214.0,1777.0,2331.0,2919.0,3111.0
POP,,,,,,
MAS_12_1_Hos,214.0,224.0,8873.0,6357.0,3122.0,3231.0
MAS_12_2_Hos,204.0,220.0,10945.0,6385.0,2985.0,3154.0
MAS_12_3_Hos,212.0,228.0,14911.0,4777.0,3010.0,3193.0
MAS_12_4_Hos,214.0,218.0,6404.0,5155.0,3034.0,3076.0
MAS_12_5_Hos,202.0,228.0,15044.0,5342.0,2970.0,3277.0
MAS_12_6_Hos,214.0,224.0,6942.0,4986.0,3121.0,3230.0
MAS_12_7_Hos,214.0,226.0,5209.0,1436.0,3036.0,3187.0
MAS_12_8_Hos,216.0,228.0,11373.0,4104.0,3127.0,3276.0
MAS_12_9_Hos,214.0,226.0,14908.0,5007.0,3156.0,3283.0
MAS_12_10_Hos,214.0,214.0,15841.0,15841.0,3075.0,3075.0
MAS_12_11_Hos,224.0,224.0,3435.0,3435.0,3178.0,3178.0
MAS_12_12_Hos,220.0,226.0,3906.0,3722.0,3123.0,3189.0
MAS_12_13_Hos,200.0,216.0,5696.0,5082.0,2915.0,3090.0
MAS_12_14_Hos,200.0,200.0,14852.0,14852.0,2880.0,2880.0
MAS_12_15_Hos,214.0,226.0,5468.0,2682.0,3126.0,3259.0
MAS_12_17_Hos,216.0,216.0,13164.0,13164.0,3149.0,3149.0
MAS_12_18_Hos,214.0,216.0,10359.0,10359.0,3070.0,3070.0
MAS_12_19_Hos,212.0,212.0,10982.0,10982.0,3090.0,3090.0
MAS_12_20_Hos,214.0,214.0,11645.0,11645.0,3113.0,3113.0
MAS_12_21_Hos,216.0,236.0,5233.0,6131.0,3107.0,3322.0
MAS_12_22_Hos,218.0,220.0,11297.0,11297.0,3160.0,3160.0
MAS_12_23_Hos,216.0,226.0,10708.0,4041.0,3149.0,3278.0
POP,,,,,,
TWI_12_1_Hos,202.0,214.0,20035.0,17713.0,3043.0,3200.0
TWI_12_2_Hos,214.0,214.0,21497.0,21497.0,3160.0,3160.0
TWI_12_3_Hos,210.0,214.0,12581.0,14459.0,3083.0,3128.0
TWI_12_4_Hos,210.0,214.0,29644.0,10942.0,3077.0,3119.0
TWI_12_5_Hos,214.0,222.0,11302.0,7314.0,3100.0,3184.0
TWI_12_6_Hos,210.0,222.0,20679.0,10905.0,3046.0,3173.0
TWI_12_7_Hos,196.0,236.0,31190.0,9579.0,2884.0,3337.0
TWI_12_8_Hos,230.0,230.0,12707.0,12707.0,3298.0,3298.0
TWI_12_10_Hos,212.0,222.0,15804.0,10198.0,3097.0,3205.0
TWI_12_11_Hos,210.0,218.0,17477.0,21218.0,3055.0,3144.0
TWI_12_12_Hos,208.0,210.0,28035.0,28035.0,3018.0,3018.0
TWI_12_13_Hos,212.0,214.0,20890.0,20890.0,3041.0,3041.0
TWI_12_14_Hos,214.0,214.0,26348.0,26348.0,3055.0,3055.0
TWI_12_15_Hos,194.0,206.0,29923.0,17513.0,2834.0,2982.0
TWI_12_16_Hos,216.0,216.0,22830.0,22830.0,3113.0,3113.0
TWI_12_17_Hos,210.0,220.0,16167.0,10432.0,3064.0,3171.0
TWI_12_18_Hos,232.0,232.0,16431.0,16431.0,3276.0,3276.0
TWI_12_19_Hos,212.0,212.0,20510.0,20510.0,3048.0,3048.0
TWI_12_20_Hos,220.0,224.0,10754.0,11169.0,3107.0,3150.0
TWI_12_21_Hos,214.0,222.0,15954.0,11726.0,3041.0,3126.0
TWI_12_22_Hos,200.0,216.0,23431.0,15166.0,2867.0,3059.0
TWI_12_23_Hos,214.0,216.0,12849.0,12849.0,3045.0,3045.0
TWI_12_25_Hos,210.0,214.0,22521.0,16027.0,3058.0,3101.0
TWI_12_26_Hos,216.0,216.0,31153.0,31153.0,3090.0,3090.0
TWI_12_27_Hos,200.0,206.0,18916.0,66.0,2958.0,3022.0
TWI_12_28_Hos,204.0,224.0,27272.0,9611.0,2916.0,3152.0
TWI_12_29_Hos,214.0,214.0,20604.0,20604.0,3029.0,3029.0
TWI_12_30_Hos,210.0,214.0,22998.0,20072.0,2988.0,3030.0
TWI_12_31_Hos,214.0,216.0,20364.0,20590.0,3052.0,3075.0
TWI_12_32_Hos,204.0,220.0,22342.0,11979.0,2927.0,3120.0
TWI_12_34_Hos,204.0,230.0,16976.0,7182.0,2981.0,3261.0
TWI_12_35_Hos,208.0,216.0,19568.0,14288.0,2985.0,3072.0
TWI_12_36_Hos,192.0,212.0,679.0,27694.0,2810.0,3029.0
TWI_12_38_Hos,204.0,228.0,17164.0,4303.0,2906.0,3183.0
TWI_12_40_Hos,196.0,210.0,7991.0,12042.0,2851.0,3023.0
