Filename,Label,Area,No. of peaks,Length
COR_12_4_Hos,0,9678.0,6,159.0
COR_12_4_Hos,0,10091.0,6,164.0
COR_12_4_Hos,0,4013.0,3,180.0
COR_12_4_Hos,0,5616.0,3,182.0
COR_12_4_Hos,0,8394.5,4,188.0
COR_12_4_Hos,0,8891.5,3,192.0
COR_12_4_Hos,0,9591.5,3,203.0
COR_12_4_Hos,0,31932.5,5,213.0
COR_12_4_Hos,0,6569.0,2,224.0
COR_12_4_Hos,0,6930.5,4,228.0
COR_12_4_Hos,0,3916.5,2,238.0
COR_12_4_Hos,0,5352.0,5,245.0
COR_12_4_Hos,0,5392.0,6,249.0
COR_12_4_Hos,0,11477.0,8,253.0
COR_12_4_Hos,1,60527.0,6,257.0
COR_12_4_Hos,0,5659.0,2,277.0
COR_12_4_Hos,0,2905.5,1,290.0
COR_12_4_Hos,0,2812.5,2,318.0
COR_12_4_Hos,0,2878.5,2,337.0
COR_12_4_Hos,0,11115.5,5,341.0
COR_12_4_Hos,0,28215.5,5,345.0
COR_12_4_Hos,0,23434.5,6,352.0
COR_12_4_Hos,0,13243.0,3,371.0
COR_12_4_Hos,0,5387.5,2,422.0
COR_12_4_Hos,0,1382.5,1,464.0
COR_12_5_Hos,0,36898.0,5,43.0
COR_12_5_Hos,0,33877.0,5,47.0
COR_12_5_Hos,0,30211.5,6,49.0
COR_12_5_Hos,0,23816.0,7,51.0
COR_12_5_Hos,0,13242.0,6,53.0
COR_12_5_Hos,0,10750.5,7,55.0
COR_12_5_Hos,0,10927.5,8,57.0
COR_12_5_Hos,0,9688.5,8,58.0
COR_12_5_Hos,0,15100.5,7,69.0
COR_12_5_Hos,0,20543.0,5,83.0
COR_12_5_Hos,0,29132.0,7,88.0
COR_12_5_Hos,0,24882.5,8,92.0
COR_12_5_Hos,0,4710.0,2,105.0
COR_12_5_Hos,0,119922.5,7,116.0
COR_12_5_Hos,0,11900.5,8,127.0
COR_12_5_Hos,0,18205.0,5,133.0
COR_12_5_Hos,0,2825.0,2,155.0
COR_12_5_Hos,0,3495.5,1,165.0
COR_12_5_Hos,0,5796.5,5,171.0
COR_12_5_Hos,0,6637.0,7,173.0
COR_12_5_Hos,0,7819.0,7,174.0
COR_12_5_Hos,0,7987.5,7,178.0
COR_12_5_Hos,0,2624.0,2,187.0
COR_12_5_Hos,0,7555.0,4,192.0
COR_12_5_Hos,0,17412.0,2,214.0
COR_12_5_Hos,0,4686.5,2,224.0
COR_12_5_Hos,0,3411.0,2,239.0
COR_12_5_Hos,0,4335.5,4,245.0
COR_12_5_Hos,0,3087.0,3,264.0
COR_12_5_Hos,0,9955.5,7,268.0
COR_12_5_Hos,1,37010.0,7,272.0
COR_12_5_Hos,0,36440.0,6,278.0
COR_12_5_Hos,0,13175.5,5,284.0
COR_12_5_Hos,0,8673.0,4,288.0
COR_12_5_Hos,1,38045.0,5,292.0
COR_12_5_Hos,0,3504.5,3,318.0
COR_12_5_Hos,0,13085.5,4,352.0
COR_12_5_Hos,0,8352.5,3,393.0
COR_12_5_Hos,0,5368.5,2,423.0
COR_12_6_Hos,0,21301.5,8,46.0
COR_12_6_Hos,0,17693.5,7,51.0
COR_12_6_Hos,0,10957.5,7,55.0
COR_12_6_Hos,0,11239.5,8,57.0
COR_12_6_Hos,0,10344.0,8,58.0
COR_12_6_Hos,0,13513.0,7,69.0
COR_12_6_Hos,0,18713.0,4,84.0
COR_12_6_Hos,0,24091.0,7,90.0
COR_12_6_Hos,0,4126.5,3,105.0
COR_12_6_Hos,0,133014.0,5,116.0
COR_12_6_Hos,0,117609.5,8,122.0
COR_12_6_Hos,0,7609.0,9,128.0
COR_12_6_Hos,0,3550.5,2,151.0
COR_12_6_Hos,0,3995.0,2,165.0
COR_12_6_Hos,0,5841.0,5,169.0
COR_12_6_Hos,0,3619.0,2,178.0
COR_12_6_Hos,0,4572.0,3,182.0
COR_12_6_Hos,0,5113.5,3,192.0
COR_12_6_Hos,0,14272.0,4,214.0
COR_12_6_Hos,0,17815.0,4,216.0
COR_12_6_Hos,0,2445.5,2,239.0
COR_12_6_Hos,0,3666.5,4,272.0
COR_12_6_Hos,0,9832.0,5,278.0
COR_12_6_Hos,0,11502.0,4,280.0
COR_12_6_Hos,1,29562.5,5,284.0
COR_12_6_Hos,0,29841.5,5,288.0
COR_12_6_Hos,1,61835.0,5,292.0
COR_12_6_Hos,0,1940.5,1,318.0
COR_12_6_Hos,0,12711.5,5,352.0
COR_12_6_Hos,0,15849.5,5,354.0
COR_12_6_Hos,0,3484.5,2,423.0
COR_12_7_Hos,0,26771.0,8,43.0
COR_12_7_Hos,0,23315.5,8,47.0
COR_12_7_Hos,0,22710.0,9,49.0
COR_12_7_Hos,0,18922.0,8,51.0
COR_12_7_Hos,0,11383.5,9,55.0
COR_12_7_Hos,0,11052.0,10,57.0
COR_12_7_Hos,0,9758.5,9,58.0
COR_12_7_Hos,0,10585.5,5,69.0
COR_12_7_Hos,0,37259.5,5,83.0
COR_12_7_Hos,0,40099.5,6,90.0
COR_12_7_Hos,0,11044.5,5,105.0
COR_12_7_Hos,0,4909.0,3,116.0
COR_12_7_Hos,0,9629.5,5,119.0
COR_12_7_Hos,0,10889.0,7,121.0
