Unnamed: 0.1,Hsc 40,Hsc 40.1,Height_column1,Height_column2,Index_column3,Index_column4
POP,,,,,,
COR_12_1_Hos,304.0,304.0,3842.17,3842.17,4078.0,4078.0
COR_12_2_Hos,252.0,252.0,7641.35,7641.35,3447.0,3447.0
COR_12_3_Hos,240.0,312.0,6374.96,2575.78,3319.0,4146.0
COR_12_4_Hos,256.0,256.0,5108.57,5108.57,3464.0,3464.0
COR_12_5_Hos,272.0,292.0,2575.78,3842.17,3645.0,3874.0
COR_12_6_Hos,284.0,292.0,1309.39,6374.96,3773.0,3865.0
COR_12_7_Hos,268.0,268.0,7641.35,7641.35,3621.0,3621.0
COR_12_8_Hos,280.0,280.0,2575.78,2575.78,3766.0,3766.0
COR_12_9_Hos,268.0,312.0,3842.17,2575.78,3693.0,4207.0
COR_12_10_Hos,244.0,272.0,3842.17,2575.78,3366.0,3689.0
COR_12_11_Hos,316.0,316.0,1309.39,1309.39,4168.0,4168.0
COR_12_13_Hos,300.0,324.0,2575.78,1309.39,3953.0,4227.0
COR_12_14_Hos,320.0,320.0,2575.78,2575.78,4231.0,4231.0
COR_12_16_Hos,300.0,300.0,3842.17,3842.17,4016.0,4016.0
COR_12_17_Hos,260.0,272.0,1309.39,1309.39,3591.0,3731.0
COR_12_19_Hos,252.0,268.0,2575.78,1309.39,3447.0,3628.0
COR_12_20_Hos,260.0,272.0,3842.17,2575.78,3537.0,3675.0
COR_12_21_Hos,272.0,272.0,6374.96,6374.96,3649.0,3649.0
COR_12_22_Hos,268.0,268.0,7641.35,7641.35,3604.0,3604.0
COR_12_23_Hos,260.0,276.0,5108.57,5108.57,3529.0,3714.0
COR_12_24_Hos,324.0,376.0,1309.39,43.0,4286.0,4889.0
COR_12_25_Hos,276.0,276.0,7641.35,7641.35,3818.0,3818.0
COR_12_26_Hos,264.0,276.0,3842.17,2575.78,3618.0,3756.0
COR_12_27_Hos,256.0,256.0,6374.96,6374.96,3470.0,3470.0
COR_12_29_Hos,284.0,332.0,2575.78,1309.39,3799.0,4352.0
COR_12_30_Hos,272.0,272.0,6374.96,6374.96,3701.0,3701.0
COR_12_31_Hos,276.0,276.0,8907.74,8907.74,3730.0,3730.0
COR_12_32_Hos,280.0,280.0,1309.39,1309.39,3797.0,3797.0
COR_12_33_Hos,236.0,280.0,1309.39,43.0,3347.0,3860.0
COR_12_34_Hos,272.0,312.0,1309.39,43.0,3723.0,4192.0
COR_12_35_Hos,276.0,276.0,11440.52,11440.52,3757.0,3757.0
COR_12_36_Hos,280.0,292.0,43.0,1309.39,3792.0,3932.0
COR_12_37_Hos,280.0,280.0,5108.57,5108.57,3778.0,3778.0
COR_12_38_Hos,272.0,312.0,6374.96,2575.78,3690.0,4152.0
COR_12_39_Hos,248.0,284.0,5108.57,1309.39,3443.0,3857.0
COR_12_40_Hos,276.0,276.0,5108.57,5108.57,3784.0,3784.0
COR_12_41_Hos,280.0,280.0,5108.57,5108.57,3918.0,3918.0
COR_12_42_Hos,256.0,256.0,11440.52,11440.52,3582.0,3582.0
COR_12_43_Hos,284.0,284.0,3842.17,3842.17,3882.0,3882.0
COR_12_44_Hos,276.0,288.0,3842.17,2575.78,3770.0,3911.0
COR_12_45_Hos,276.0,276.0,8907.74,8907.74,3781.0,3781.0
COR_12_46_Hos,272.0,272.0,12706.91,12706.91,3727.0,3727.0
COR_12_47_Hos,268.0,268.0,7641.35,7641.35,3673.0,3673.0
COR_12_48_Hos,300.0,304.0,3842.17,2575.78,4117.0,4163.0
COR_12_49_Hos,252.0,252.0,6374.96,6374.96,3605.0,3605.0
COR_12_50_Hos,272.0,300.0,3842.17,2575.78,3807.0,4140.0
POP,,,,,,
GUI_12_1,248.0,248.0,8907.74,8907.74,3482.0,3482.0
GUI_12_2,260.0,260.0,8907.74,8907.74,3629.0,3629.0
GUI_12_4,240.0,264.0,10174.13,6374.96,3453.0,3736.0
GUI_12_5,268.0,268.0,12706.91,12706.91,3787.0,3787.0
GUI_12_6,252.0,252.0,13973.3,13973.3,3523.0,3523.0
GUI_12_7,300.0,336.0,43.0,2575.78,4058.0,4477.0
GUI_12_8,312.0,312.0,6374.96,6374.96,4230.0,4230.0
